인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액,판매개선율,권장판매량
2740,9311996,이지듀클리어B3+B5세럼29ML(인도네시아),1510,nan,6020,D250729008,200.0,103200.0,516.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2741,9311997,이지듀클리어바하클렌저100ML(인도네시아),1510,nan,5000,D250729009,900.0,566100.0,629.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2742,9311997,이지듀클리어바하클렌저100ML(인도네시아),1510,nan,5010,D250729009,0.0,0.0,629.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2743,9311997,이지듀클리어바하클렌저100ML(인도네시아),1510,nan,6020,D250729009,100.0,62900.0,629.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2744,9312030,이지듀디더블유이지에프멜라토닝원데이앰플시카알로에1ML,1510,nan,6090,FHA,50448.0,29365094.0,582.0863859816048,시카알로에,앰플1ML,2028-08-10,877,24개월 이상,0.0,0.0,0.0,,
2745,9312031,이지듀디더블유이지에프멜라토닝원데이앰플시카알로에8ML,1510,nan,6090,FHA,9360.0,14804629.0,1581.6911324786324,시카알로에,앰플8ML,2028-08-10,877,24개월 이상,0.0,0.0,0.0,,
2746,9312032,이지듀멜라토닝겔패치시카알로에12g(1매입),1510,nan,5000,780EF,107.0,47418.26454033771,443.16135084427765,시카알로에,패치1매,2028-06-29,835,24개월 이상,0.0,0.0,0.0,,
2747,9312032,이지듀멜라토닝겔패치시카알로에12g(1매입),1510,nan,5100,679EG,4.0,1772.6454033771106,443.16135084427765,시카알로에,패치1매,,0,유효기한 없음,0.0,0.0,0.0,,
2748,9312032,이지듀멜라토닝겔패치시카알로에12g(1매입),1510,nan,7060,766EF,422.0,187014.09005628517,443.16135084427765,시카알로에,패치1매,2028-06-22,828,24개월 이상,0.0,0.0,0.0,,
2750,9312121,[세트]시카알로에15ml+매트팩트미니21호_카카오,1510,nan,5000,D250724002,99.0,845945.1,8544.9,임가공,임가공,2027-06-25,465,18개월 미만,15.333333333333334,0.0,0.0,,
2751,9312132,[카카오]기미앰플10ml+1ml_삼각쇼핑백,1510,nan,5000,D251001003,34.0,201140.35714285713,5915.892857142857,임가공,임가공,2028-01-13,667,24개월 미만,56.0,0.0,0.0,,
2752,9312132,[카카오]기미앰플10ml+1ml_삼각쇼핑백,1510,nan,5000,D251230006,50.0,295794.64285714284,5915.892857142857,임가공,임가공,2028-01-13,667,24개월 미만,56.0,0.0,0.0,,
2753,9312132,[카카오]기미앰플10ml+1ml_삼각쇼핑백,1510,nan,5100,0,0.0,0.0,5915.892857142857,임가공,임가공,,0,유효기한 없음,56.0,0.0,0.0,,
2754,9312132,[카카오]기미앰플10ml+1ml_삼각쇼핑백,1510,nan,5100,D251001003,0.0,0.0,5915.892857142857,임가공,임가공,2028-01-13,667,24개월 미만,56.0,0.0,0.0,,
2755,9312132,[카카오]기미앰플10ml+1ml_삼각쇼핑백,1510,nan,5300,D251001003,0.0,0.0,5915.892857142857,임가공,임가공,2028-01-13,667,24개월 미만,56.0,0.0,0.0,,
2756,9312144,이지듀디더블유이지에프멜라토닝원데이앰플원엑스8ML(미국),1510,nan,5000,BJA,5931.0,11439943.124308929,1928.8388339755402,미국,원데이앰플,2028-08-31,898,24개월 이상,590.6666666666666,0.0,0.0,,
2757,9312144,이지듀디더블유이지에프멜라토닝원데이앰플원엑스8ML(미국),1510,nan,5600,BJA,0.0,0.0,1928.8388339755402,미국,원데이앰플,2028-08-31,898,24개월 이상,590.6666666666666,0.0,0.0,,
2758,9312144,이지듀디더블유이지에프멜라토닝원데이앰플원엑스8ML(미국),1510,nan,6080,AHA,38.0,73295.87569107053,1928.8388339755402,미국,원데이앰플,2028-08-25,892,24개월 이상,590.6666666666666,0.0,0.0,,
2759,9312145,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스8ML(미국),1510,nan,5000,AHA,1581.0,3091828.8284512055,1955.6159572746399,미국,원데이앰플,2028-08-25,892,24개월 이상,840.0,0.0,0.0,,
2760,9312145,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스8ML(미국),1510,nan,5000,BJA,4560.0,8917608.765172359,1955.6159572746399,미국,원데이앰플,2028-08-31,898,24개월 이상,840.0,0.0,0.0,,
2761,9312145,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스8ML(미국),1510,nan,6080,AHA,38.0,74313.40637643631,1955.6159572746399,미국,원데이앰플,2028-08-25,892,24개월 이상,840.0,0.0,0.0,,
2762,9312146,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스8ML(미국),1510,nan,5000,AHA,0.0,0.0,1982.4403534609721,미국,원데이앰플,2028-08-25,892,24개월 이상,3219.0,0.0,0.0,,
2763,9312146,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스8ML(미국),1510,nan,5000,BJA,641.0,1270744.266568483,1982.4403534609721,미국,원데이앰플,2028-08-31,898,24개월 이상,3219.0,0.0,0.0,,
2764,9312146,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스8ML(미국),1510,nan,5600,AHA,0.0,0.0,1982.4403534609721,미국,원데이앰플,2028-08-25,892,24개월 이상,3219.0,0.0,0.0,,
2765,9312146,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스8ML(미국),1510,nan,5600,BJA,0.0,0.0,1982.4403534609721,미국,원데이앰플,2028-08-31,898,24개월 이상,3219.0,0.0,0.0,,
2766,9312146,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스8ML(미국),1510,nan,6080,AHA,38.0,75332.73343151694,1982.4403534609721,미국,원데이앰플,2028-08-25,892,24개월 이상,3219.0,0.0,0.0,,
2767,9312147,이지듀디더블유이지에프멜라토닝원데이앰플원엑스30ML(미국),1510,nan,5000,CJA,15820.0,73444784.91703719,4642.527491595271,미국,원데이앰플,2028-08-31,898,24개월 이상,65.33333333333333,14302.177777777764,66398253.52301624,900% 이상,653.3333333333333
2768,9312147,이지듀디더블유이지에프멜라토닝원데이앰플원엑스30ML(미국),1510,nan,5000,DJA,11795.0,54758611.76336622,4642.527491595271,미국,원데이앰플,2028-09-03,901,24개월 이상,65.33333333333333,11788.466666666667,54728280.58375447,900% 이상,653.3333333333333
2769,9312147,이지듀디더블유이지에프멜라토닝원데이앰플원엑스30ML(미국),1510,nan,5600,CJA,0.0,0.0,4642.527491595271,미국,원데이앰플,2028-08-31,898,24개월 이상,65.33333333333333,0.0,0.0,900% 이상,653.3333333333333
2770,9312147,이지듀디더블유이지에프멜라토닝원데이앰플원엑스30ML(미국),1510,nan,6080,AHA,48.0,222841.319596573,4642.527491595271,미국,원데이앰플,2028-08-25,892,24개월 이상,65.33333333333333,0.0,0.0,900% 이상,653.3333333333333
2771,9312148,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스30ML(미국),1510,nan,5000,AHA,2619.0,12422175.791568693,4743.0988131228305,미국,원데이앰플,2028-08-25,892,24개월 이상,933.3333333333334,0.0,0.0,,
2772,9312148,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스30ML(미국),1510,nan,5000,BJA,15195.0,72071386.46540141,4743.0988131228305,미국,원데이앰플,2028-08-31,898,24개월 이상,933.3333333333334,0.0,0.0,,
2773,9312148,이지듀디더블유이지에프멜라토닝원데이앰플쓰리엑스30ML(미국),1510,nan,6080,AHA,48.0,227668.74302989588,4743.0988131228305,미국,원데이앰플,2028-08-25,892,24개월 이상,933.3333333333334,0.0,0.0,,
