자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
2303487,이지듀베리어리페어토너200ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303488,이지듀베리어리페어미스트60ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303490,이지듀디더블유이지에프크림프레좀알엑스50ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303493,이지듀클리어라하바디미스트100ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303494,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303495,이지듀디더블유이지에프멜라토닝원데이앰플1ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303499,이지듀멜라글루타치온크림105ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303500,이지듀디더블유이지에프와이드(프로텍션)패치4G_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303510,이지듀멜라토닝멜라씨비타에센스토너30ML_단상자,750.0,0.0,세트포장재,세트포장재,999.0
2303511,이지듀멜라토닝멜라씨비타에센스토너150ML_단상자,860.0,0.0,세트포장재,세트포장재,999.0
2303512,이지듀멜라에이레티노0.03프로크림1ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303513,이지듀멜라에이레티노0.03프로크림30ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303514,이지듀멜라에이레티노0.3프로트리트먼트1ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303515,이지듀베리어리페어클렌저150ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303516,이지듀베리어리페어크림30G_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303517,이지듀베리어리페어크림50ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303518,이지듀베리어리페어크림105ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303519,이지듀베리어리페어마스크25G(*4매입)_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303520,이지듀베리어리페어토너200ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303521,이지듀베리어리페어미스트60ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303524,이지듀디더블유이지에프크림프레좀알엑스50ML_단상자,1000.0,0.0,세트포장재,세트포장재,999.0
2303584,[추석세트]이지듀쿠션앤앰플기프트세트21호내추럴_싸바리(상단+포밍+하단),346.0,0.0,세트포장재,세트포장재,999.0
2303591,[부자재]]이지듀디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_단상자,24235.0,0.0,세트포장재,세트포장재,999.0
2303620,리프트이지에프10코어이펙트앰플1ml_용기라벨,40000.0,0.0,세트포장재,세트포장재,999.0
2303824,[부자재]기미앰플30ML*6세트(26신년)_슬리브,1080.0,0.0,세트포장재,세트포장재,999.0
2303825,[부자재]부스터샷6입(본품3+리필3)세트_하판(26신년),1020.0,0.0,세트포장재,세트포장재,999.0
2303828,[부자재]부스터샷묶음(본품1+리필1)세트_띠라벨(면세),2200.0,0.0,세트포장재,세트포장재,999.0
2303830,[부자재]기미팩트세트(본품3+리필3+퍼프3)_단상자(공용),2200.0,0.0,세트포장재,세트포장재,999.0
2303831,[부자재]이지듀항산화*4세트(26신년)_슬리브,1075.0,0.0,세트포장재,세트포장재,999.0
2303865,[부자재]이지듀항산화*4세트(26신년)_하판,1005.0,0.0,세트포장재,세트포장재,999.0
2303866,[부자재]이지듀항산화*4세트(26신년)_패드,1075.0,0.0,세트포장재,세트포장재,999.0
2303867,[부자재]부스터샷6입(본품3+리필3)세트_슬리브(26신년),1090.0,0.0,세트포장재,세트포장재,999.0
2303868,[부자재]부스터샷6입(본품3+리필3)세트_패드(26신년),1090.0,0.0,세트포장재,세트포장재,999.0
2303869,[부자재]기미앰플30ML*6세트(26신년)_하판,1020.0,0.0,세트포장재,세트포장재,999.0
2303880,[부자재]기미앰플30ML*6세트(26신년)_패드,1080.0,0.0,세트포장재,세트포장재,999.0
7000974,[판촉물_부자재][EA]통합쇼핑백(27*35)_일반,1957.0,0.0,판촉물,판촉물,999.0
7001011,[판촉물_상품]실리콘클렌징브러쉬(비비또)_오렌지,467.0,0.0,판촉물,판촉물,999.0
7001012,[판촉물_상품]클렌징브러쉬듀오,4377.0,35.333333333333336,판촉물,판촉물,3716.320754716981
7001023,[판촉물_부자재][EX]불투명비닐쇼핑백1장_로컬용(26*32)_단종,1000.0,0.0,판촉물,판촉물,999.0
7300456,'=배송비=,717837.0,13238.666666666666,기타,기타,1626.6826971497633
7300925,[판촉물_상품][EA]사각손거울(95x166mm),686.0,0.0,판촉물,판촉물,999.0
7300927,[판촉물_부자재][EA]서랍형2종손잡이케이스(94*47*190)(판),33.0,0.0,세트포장재,세트포장재,999.0
