자재,평가 유형,플랜트,저장 위치,배치,특별 재고,공급업체,고객,판매 오더,판매 오더 품목,WBS 요소,Order/WBS/Vendor/Customer,CoCode,평가 영역,평가클래스,G/L 계정,자재 유형,자재 그룹,ExtMatlGrp,기존 자재 번호,구매 그룹,자재 내역,기본 단위,통화,가격 관리,Stock Quantity on Period Start,Value on Period Start,Total Goods Receipt Quantity,Total Goods Receipt Value,Total Goods Issue Quantity,Total Goods Issue Value,Stock Quantity on Period End,Stock Value on Period End,Receipt From Purchase Quantity,Receipt From Purchase Value,Issue To Sales Quantity,Issue To Sales Value,Receipt From Manuf. Quantity,Receipt From Manuf. Value,Issue To Manuf. Quantity,Issue To Manuf. Value,Receipt From Transfer Quantity,Receipt From Transfer Value,Issue To Transfer Quantity,Issue To Transfer Value,Quantity of Other Received Goods,Value of Other Received Goods,Quantity of Other Issued Goods,Value of Other Issued Goods,Issue To Internal Purposes Qty,Issue To Internal Purposes Val,Debit Revaluation,Credit Revaluation,유효 기한,days_to_expiry,expiry_bucket,단위원가,대분류,소분류,3평판,개월수
1000940,,1510,,B08896,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,95400.0,161916565,0.0,0,0.0,-73,95400.0,161916491.7750804,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08897,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,52209.64,88612218,0.0,84,-3801.822,-6452721,48407.818,82159581.39461833,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-3801.822,-6452721,0.0,0,0,0,2027-08-06,548.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08897,O,10004720,,,,,0010004720,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,5426.975,9210872,0.0,0,-5292.234,-8982184,134.741,228687.52639691942,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-5292.234,-8982181,0.0,0,0,0,2027-08-06,548.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08897,O,10004709,,,,,0010004709,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,200.0,339448,0.0,0,0.0,0,200.0,339447.5718555145,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,2027-08-06,548.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08898,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,10000.0,16972386,0.0,0,-9263.76,-15722812,736.24,1249574.40151452,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-9263.76,-15722804,0.0,0,0,0,2027-08-19,561.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08898,O,10004720,,,,,0010004720,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,800.0,1357791,64800.0,109981014,-1034.269,-1755402,64565.731,109583403.06513159,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64800.0,109981013,-1034.269,-1755402,0.0,0,0,0,2027-08-19,561.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B09348,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,0.0,0,22800.0,38697023,0.0,0,22800.0,38697023.19152865,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22800.0,38697023,0.0,0,0.0,0,0,0,2027-08-31,573.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B08897,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,2600.0,4412820,0.0,0,-200.0,-339449,2400.0,4073370.8622661736,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-200.0,-339448,0.0,0,0,0,2027-08-06,548.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B08898,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,83200.0,141210254,0.0,0,-65000.0,-110320525,18200.0,30889729.038851816,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-65000.0,-110320461,0.0,0,0,0,2027-08-19,561.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B09348,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,88600.0,150375343,0.0,0,-22800.0,-38697092,65800.0,111678251.14046426,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-22800.0,-38697023,0.0,0,0,0,2027-08-31,573.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B09349,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,81600.0,138494672,0.0,0,0.0,-63,81600.0,138494609.31704992,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,2027-09-02,575.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B09350,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,94600.0,160558774,0.0,0,0.0,-73,94600.0,160558701.48765835,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,2027-09-04,577.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B09445,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,95600.0,162256013,0.0,0,0.0,-74,95600.0,162255939.34693593,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,2027-09-08,581.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1000940,,1510,5000.0,B09446,,,,,,,,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,96600.0,163953252,0.0,0,0.0,-75,96600.0,163953177.2062135,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,2027-10-08,611.0,12개월 이상,1697.2378592775724,원료,원료,0.0,
1300271,,1510,,C03737,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,,170.0,대웅이지에프원료(동결원액)4mg/1ml,ML,KRW,V,2.875,30302,0.0,0,0.0,0,2.875,30302.501421437755,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,10540.000494413132,원료,원료,0.0,
1300271,,1510,,C04271,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,,170.0,대웅이지에프원료(동결원액)4mg/1ml,ML,KRW,V,75.1,791554,0.0,0,-11.675,-123054,63.425,668499.5313581529,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-11.675,-123054,0.0,0,0,0,,,유효기한 없음,10540.000494413132,원료,원료,0.0,
1300271,,1510,,C04620,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,,170.0,대웅이지에프원료(동결원액)4mg/1ml,ML,KRW,V,1000.0,10540000,0.0,0,-914.76,-9641570,85.24,898429.6421437754,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-914.76,-9641570,0.0,0,0,0,,,유효기한 없음,10540.000494413132,원료,원료,0.0,
1300271,,1510,,C04686,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,,170.0,대웅이지에프원료(동결원액)4mg/1ml,ML,KRW,V,0.0,0,3500.0,36890000,-2033.46,-21432668,1466.54,15457332.325076634,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3500.0,36890000,-2033.46,-21432668,0.0,0,0,0,,,유효기한 없음,10540.000494413132,원료,원료,0.0,
2300779,,1510,,,W,,C1100,,,,C1100,1500,1510,3050,,ROH2,C120,,,170.0,[판촉물_부자재][EA]대형쇼핑백(고급)(28*7.5*32),EA,KRW,V,10.0,5922,0.0,0,0.0,0,10.0,5922.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,592.2,세트포장재,세트포장재,0.0,
2301915,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,E100,,,170.0,[부자재]이지듀쇼핑백(245*95*230)2023프로모션,EA,KRW,V,13.0,8391,0.0,0,0.0,0,13.0,8391.49694978883,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,645.4997653683716,세트포장재,세트포장재,0.0,1.0
2301915,,1510,6090.0,,,,,,,,,1500,1510,3050,,ROH2,E100,,,170.0,[부자재]이지듀쇼핑백(245*95*230)2023프로모션,EA,KRW,V,2118.0,1367169,0.0,0,0.0,0,2118.0,1367168.5030502111,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,645.4997653683716,세트포장재,세트포장재,0.0,1.0
2302027,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[부자재]크림+앰플_서랍형손잡이케이스(2023추석),EA,KRW,V,3871.0,2709700,0.0,0,0.0,0,3871.0,2709700.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,700.0,세트포장재,세트포장재,0.0,
2302028,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[부자재]휩폼+크림_리본끈사각케이스(2023추석),EA,KRW,V,3618.0,2713500,0.0,0,0.0,0,3618.0,2713500.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,750.0,세트포장재,세트포장재,0.0,3.0
2302173,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(리본/2024설),EA,KRW,V,780.0,202800,0.0,0,0.0,0,780.0,202800.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,260.0,세트포장재,세트포장재,0.0,1.0
2302177,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(금펄/2024설),EA,KRW,V,1100.0,280500,0.0,0,0.0,0,1100.0,280500.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,255.0,세트포장재,세트포장재,0.0,
2302224,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[판촉물_부자재](면세)원데이앰플(12ml+0.7ml)*3ea_슬리브,EA,KRW,V,2922.0,501829,0.0,0,-1080.0,-185481,1842.0,316348.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1080.0,-185481,0.0,0,0,0,,,유효기한 없음,171.74158523344192,세트포장재,세트포장재,0.0,
2302226,,1510,5000.0,,,,,,,,,1500,1510,3050,,ROH2,C120,,,170.0,[판촉물_부자재](면세)이지에프멜라토닝패치(5g*4ea)*3ea_슬리브,EA,KRW,V,2450.0,599828,0.0,0,0.0,0,2450.0,599828.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,244.8277551020408,세트포장재,세트포장재,0.0,
