인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판
74,2302909,[판촉물_부자재]이지듀 베리어크림30G_슬리브,1510,W,,nan,15.0,2175.0,145.0,세트포장재,세트포장재,,,유효기한 없음,0.0
75,2302909,[판촉물_부자재]이지듀 베리어크림30G_슬리브,1510,nan,5000.0,nan,1600.0,232000.0,145.0,세트포장재,세트포장재,,,유효기한 없음,0.0
76,2302911,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_싸바리,1510,nan,5000.0,nan,30.0,129000.0,4300.0,세트포장재,세트포장재,,,유효기한 없음,0.0
77,2302912,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_패드,1510,nan,5000.0,nan,30.0,19500.0,650.0,세트포장재,세트포장재,,,유효기한 없음,0.0
78,2302916,[판촉물_부자재] 멜라토닝 더블업 크림+앰플 기획세트(패드)_25년설,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
79,2302955,[판촉물_부자재] 멜라토닝 더블업 크림+앰플 기획세트(단상자)_25년설,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
80,2302961,[판촉물_부자재]멜라토닝 에센셜 CBA 3종 VIP세트(패드)_옐로우,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
81,2302962,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(싸바리)_플라워,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
82,2302963,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(패드)_옐로우,1510,O,,nan,0.0,0.0,342.5367924528302,세트포장재,세트포장재,,,유효기한 없음,0.0
83,2302963,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(패드)_옐로우,1510,nan,5000.0,nan,1060.0,363089.0,342.5367924528302,세트포장재,세트포장재,,,유효기한 없음,0.0
84,2302997,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_리플렛,1510,nan,5000.0,nan,30.0,8940.0,298.0,세트포장재,세트포장재,,,유효기한 없음,0.0
85,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,8.0,4870.101282916948,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
86,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,8.0,4870.101282916948,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
87,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,5.0,3043.8133018230924,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
88,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,O,,nan,0.0,0.0,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
89,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,10.0,6087.626603646185,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
90,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,40.0,24350.50641458474,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
91,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,W,,nan,382.0,232547.33625928426,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
92,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,7.0,4261.338622552329,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
93,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,T,,nan,11.0,6696.389264010803,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
94,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,nan,5000.0,nan,8409.0,5119085.211006077,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
95,2303084,[EA]이지듀멜라비토닝미스트로즈쇼핑백,1510,nan,7080.0,nan,6.0,3652.5759621877105,608.7626603646185,세트포장재,세트포장재,,,유효기한 없음,76.66666666666667
96,2303105,[부자재]카카오선물하기전용선물패키지_VER1,1510,nan,5000.0,nan,106.0,40729.0,384.2358490566038,세트포장재,세트포장재,,,유효기한 없음,0.0
97,2303245,이지듀멜라비토닝앰플쿠션19호페어세트(본품+리필2)39g(면세)V3단상자,1510,nan,5000.0,nan,705.0,304809.0,432.3531914893617,세트포장재,세트포장재,,,유효기한 없음,0.0
98,2303246,이지듀멜라비토닝앰플쿠션21호내추럴세트(본품+리필2)39g(면세)V3단상자,1510,nan,5000.0,nan,1023.0,474688.0,464.0156402737048,세트포장재,세트포장재,,,유효기한 없음,0.0
99,2303247,이지듀멜라비토닝앰플쿠션23호베이지세트(본품+리필2)39g(면세)V3단상자,1510,nan,5000.0,nan,715.0,309132.0,432.35244755244753,세트포장재,세트포장재,,,유효기한 없음,0.0
100,2303248,이지듀멜라비토닝원데이앰플로즈에디션_세트단상자(박스형),1510,W,,00,490.0,387100.0,790.0,세트포장재,세트포장재,,,유효기한 없음,0.0
101,2303248,이지듀멜라비토닝원데이앰플로즈에디션_세트단상자(박스형),1510,nan,5000.0,0,180.0,142200.0,790.0,세트포장재,세트포장재,,,유효기한 없음,0.0
102,2303248,이지듀멜라비토닝원데이앰플로즈에디션_세트단상자(박스형),1510,nan,5000.0,00,14713.0,11623270.0,790.0,세트포장재,세트포장재,,,유효기한 없음,0.0
103,2303260,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver*3ea(면세)슬리브,1510,nan,5000.0,nan,764.0,229200.0,300.0,세트포장재,세트포장재,,,유효기한 없음,0.0
104,2303273,[부자재_단상자]이지듀멜라비토닝유브이선세럼40ML더블기획(면세),1510,nan,5000.0,nan,1100.0,605000.0,550.0,세트포장재,세트포장재,,,유효기한 없음,0.0
105,2303293,멀티비타앰플클렌저200ml_단상자,1510,nan,5000.0,00,1100.0,670000.0,609.0909090909091,세트포장재,세트포장재,,,유효기한 없음,0.0
106,2303297,클리어징크에스오에스스팟15ml_단상자,1510,nan,5000.0,nan,4900.0,828100.0,169.0,세트포장재,세트포장재,,,유효기한 없음,0.0
107,2303299,클리어B3+B5세럼29ml_단상자,1510,nan,5000.0,nan,4500.0,720000.0,160.0,세트포장재,세트포장재,,,유효기한 없음,0.0
108,2303300,클리어아하2%토너200ml_단상자,1510,nan,5000.0,nan,1000.0,520000.0,520.0,세트포장재,세트포장재,,,유효기한 없음,0.0
109,2303301,클리어바하클렌저100ml_단상자,1510,nan,5000.0,nan,1000.0,520000.0,520.0,세트포장재,세트포장재,,,유효기한 없음,0.0
110,2303302,클리어라하바디미스트100ml_단상자,1510,nan,5000.0,nan,1000.0,540000.0,540.0,세트포장재,세트포장재,,,유효기한 없음,0.0
111,2303304,클리어바하바디클렌저300g_단상자,1510,nan,5000.0,nan,1000.0,580000.0,580.0,세트포장재,세트포장재,,,유효기한 없음,0.0
112,2303305,클리어5애씨드필30ml_단상자,1510,nan,5000.0,nan,500.0,215000.0,430.0,세트포장재,세트포장재,,,유효기한 없음,0.0
113,2303307,멜라토닝비타씨토너150ml_단상자,1510,nan,5000.0,nan,980.0,561273.0,572.7275510204082,세트포장재,세트포장재,,,유효기한 없음,0.0
114,2303308,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver_단상자,1510,nan,5000.0,nan,4400.0,1303704.0,296.29636363636365,세트포장재,세트포장재,,,유효기한 없음,0.0
115,2303310,디더블유이지에프멜라토닝원데이앰플30ml_AD(2024)_단상자,1510,nan,5000.0,nan,5000.0,750000.0,150.0,세트포장재,세트포장재,,,유효기한 없음,0.0
116,2303323,[부자재]이지듀멜라데이쉴드에센셜세트_슬리브,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
117,2303459,이지듀클리어라하바디미스트100ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,70000.0,70.0,세트포장재,세트포장재,,,유효기한 없음,0.0
118,2303460,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_용기덧방라벨,1510,nan,5000.0,nan,7000.0,105000.0,15.0,세트포장재,세트포장재,,,유효기한 없음,0.0
119,2303461,이지듀디더블유이지에프멜라토닝원데이앰플1ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
120,2303465,이지듀멜라글루타치온크림105ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,90000.0,90.0,세트포장재,세트포장재,,,유효기한 없음,0.0
121,2303466,이지듀디더블유이지에프와이드(프로텍션)패치4G_용기덧방라벨,1510,nan,5000.0,nan,1000.0,90000.0,90.0,세트포장재,세트포장재,,,유효기한 없음,0.0
122,2303467,이지듀멜라비토닝앰플쿠션23호베이지_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
123,2303468,이지듀멜라비토닝앰플쿠션21호내추럴_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
124,2303469,이지듀멜라비토닝앰플쿠션19호페어_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
125,2303476,이지듀멜라토닝멜라씨비타에센스토너30ML_용기덧방라벨,1510,nan,5000.0,nan,750.0,48750.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
126,2303477,이지듀멜라토닝멜라씨비타에센스토너150ML_용기덧방라벨,1510,nan,5000.0,nan,860.0,77400.0,90.0,세트포장재,세트포장재,,,유효기한 없음,0.0
127,2303478,이지듀클리어B3+B5세럼29ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,90000.0,90.0,세트포장재,세트포장재,,,유효기한 없음,0.0
128,2303479,이지듀멜라에이레티노0.03프로크림30ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
129,2303480,이지듀멜라에이레티노0.3프로트리트먼트1ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,100000.0,100.0,세트포장재,세트포장재,,,유효기한 없음,0.0
130,2303481,이지듀베리어리페어클렌저150ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
131,2303482,이지듀베리어리페어크림30G_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
